Stellar,Mass,Luminosity,Radius,Temp,Color Index,Abs Mag,Bolo Corr,Bolo Mag,Star Color
Type,Mstar/Msun,Lstar/Lsun,Rstar/Rsun,K,B-V,Mv,BC(Temp),Mbol,RGB 0-255
S5III,4.3,5.07E+03,3.23E+02,2750,1.88,-0.5,-4.01,-4.51,255 197 124
S5IV,2.3,2.07E+02,6.94E+01,2667,1.93,3.3,-4.34,-1.04,255 209 154
S5V,0.2,6.24E-03,3.81E-01,2667,1.93,14.6,-4.34,10.26,255 204 111
S5VI,0.1,1.72E-03,2.00E-01,2667,1.93,16,-4.34,11.66,255 204 111
S6Ia0,12.4,2.88E+07,2.81E+04,2560,2,-9.1,-4.8,-13.9,255 171 052
S6Ia,10.3,4.17E+06,1.07E+04,2560,2,-7,-4.8,-11.8,255 171 052
S6Ib,8.3,9.55E+05,5.12E+03,2560,2,-5.4,-4.8,-10.2,255 171 052
S6II,6.3,9.55E+04,1.62E+03,2560,2,-2.9,-4.8,-7.7,255 195 105
S6III,4.2,9.55E+03,5.12E+02,2560,2,-0.4,-4.8,-5.2,255 178 121
S6IV,2.2,4.10E+02,1.11E+02,2500,2.03,3.3,-5.08,-1.78,255 208 153
S6V,0.2,4.50E-03,3.68E-01,2500,2.03,15.7,-5.08,10.62,255 195 112
S6VI,0.1,1.63E-03,2.22E-01,2500,2.03,16.8,-5.08,11.72,255 195 112
S7Ia0,12.3,6.96E+07,5.10E+04,2370,2.12,-9.1,-5.76,-14.86,255 164 026
S7Ia,10.2,9.18E+06,1.85E+04,2370,2.12,-6.9,-5.76,-12.66,255 164 026
S7Ib,8.2,2.10E+06,8.87E+03,2370,2.12,-5.3,-5.76,-11.06,255 164 026
S7II,6.2,2.53E+05,3.07E+03,2370,2.12,-3,-5.76,-8.76,255 193 100
S7III,4.2,2.10E+04,8.87E+02,2370,2.12,-0.3,-5.76,-6.06,255 165 097
S7IV,2.1,9.26E+02,1.92E+02,2333,2.14,3.3,-5.97,-2.67,255 207 152
S7V,0.1,3.69E-03,3.83E-01,2333,2.14,16.8,-5.97,10.83,255 197 111
S7VI,0.1,1.94E-03,2.78E-01,2333,2.14,17.5,-5.97,11.53,255 197 111
S8Ia0,12.1,2.05E+08,1.03E+05,2180,2.25,-9.1,-6.93,-16.03,255 157 000
S8Ia,10.1,2.70E+07,3.76E+04,2180,2.25,-6.9,-6.93,-13.83,255 157 000
S8Ib,8.1,5.15E+06,1.64E+04,2180,2.25,-5.1,-6.93,-12.03,255 157 000
S8II,6.1,7.44E+05,6.23E+03,2180,2.25,-3,-6.93,-9.93,255 192 096
S8III,4.1,5.15E+04,1.64E+03,2180,2.25,-0.1,-6.93,-7.03,255 167 097
S8IV,2.1,2.44E+03,3.61E+02,2167,2.26,3.3,-7.02,-3.72,255 206 151
S8V,0.1,3.53E-03,4.34E-01,2167,2.26,17.9,-7.02,10.88,255 198 109
S8VI,0.1,2.44E-03,3.61E-01,2167,2.26,18.3,-7.02,11.28,255 198 109
S9Ia0,12,7.11E+08,2.31E+05,1990,2.4,-9,-8.38,-17.38,255 157 000
S9Ia,10,1.03E+08,8.79E+04,1990,2.4,-6.9,-8.38,-15.28,255 157 000
S9Ib,8,1.79E+07,3.67E+04,1990,2.4,-5,-8.38,-13.38,255 157 000
S9II,6,2.83E+06,1.46E+04,1990,2.4,-3,-8.38,-11.38,255 190 091
S9III,4.1,1.79E+05,3.67E+03,1990,2.4,0,-8.38,-8.38,255 233 154
S9IV,2.1,7.91E+03,7.64E+02,2000,2.39,3.3,-8.3,-5,255 205 150
S9V,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,255 198 108
S9VI,0.1,4.15E-03,5.53E-01,2000,2.39,19,-8.3,10.7,255 198 108
DA0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DA1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DA2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DA3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DA4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DA5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DA6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DA7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DA8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DA9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DB0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DB1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DB2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DB3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DB4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DB5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DB6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DB7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DB8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DB9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DC0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DC1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DC2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DC3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DC4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DC5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DC6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DC7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DC8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DC9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DO0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DO1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DO2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DO3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DO4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DO5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DO6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DO7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DO8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DO9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DQ0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DQ1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DQ2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DQ3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DQ4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DQ5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DQ6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DQ7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DQ8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DQ9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
DZ0,1.1,6.91E+00,9.02E-03,100000,-0.37,10.2,-7.55,2.65,155 178 255
DZ1,0.9,2.65E-01,6.96E-03,50400,-0.35,10.8,-4.61,6.19,159 181 255
DZ2,0.8,2.55E-02,8.64E-03,25200,-0.27,11.4,-2.67,8.73,168 189 255
DZ3,0.7,6.02E-03,9.44E-03,16800,-0.2,11.9,-1.6,10.3,179 197 255
DZ4,0.6,1.82E-03,9.22E-03,12600,-0.13,12.5,-0.9,11.6,192 207 255
DZ5,0.5,6.93E-04,8.90E-03,10080,-0.07,13.1,-0.45,12.65,207 218 255
DZ6,0.4,3.15E-04,8.64E-03,8400,0.09,13.7,-0.2,13.5,224 230 255
DZ7,0.3,1.80E-04,8.89E-03,7200,0.34,14.2,-0.09,14.11,243 243 255
DZ8,0.2,1.05E-04,8.87E-03,6300,0.55,14.8,-0.1,14.7,255 247 245
DZ9,0.1,6.73E-05,8.98E-03,5600,0.74,15.4,-0.22,15.18,255 239 225
